"GEOID","EP_POV150","EP_UNEMP","EP_HBURD","EP_NOHSDP","EP_UNINSUR","EP_AGE65","EP_AGE17","EP_DISABL","EP_SNGPNT","EP_LIMENG","EP_MUNIT","EP_MOBILE","EP_CROWD","EP_NOVEH","EP_GROUPQ","EP_NOINT","med_income","med_homeval"
"47189",0.135,0.037,0.198,0.069,0.07,0.158,0.233,0.128,0.063,0.013,0.069,0.057,0.014,0.024,0.012,0.1,82224,300800
"48001",0.257,0.039,0.246,0.152,0.174,0.148,0.19,0.168,0.078,0.02,0.035,0.197,0.051,0.065,0.217,0.178,49736,119700
"48003",0.225,0.027,0.227,0.262,0.249,0.096,0.306,0.119,0.054,0.082,0.025,0.197,0.055,0.016,0.007,0.092,80518,156500
"48005",0.308,0.06,0.247,0.16,0.186,0.163,0.254,0.191,0.094,0.036,0.061,0.182,0.04,0.056,0.036,0.112,52377,115600
"48007",0.263,0.044,0.27,0.114,0.155,0.276,0.174,0.169,0.04,0.007,0.053,0.157,0.051,0.051,0.014,0.106,51509,184900
"48009",0.189,0.031,0.206,0.088,0.166,0.206,0.227,0.176,0.046,0.012,0.003,0.103,0.017,0.025,0.008,0.168,67083,146600
"48011",0.147,0.002,0.167,0.072,0.073,0.287,0.222,0.117,0.048,0.009,0,0.077,0.01,0,0.031,0.116,71136,155000
"48013",0.237,0.064,0.197,0.194,0.214,0.148,0.269,0.118,0.079,0.059,0.014,0.338,0.081,0.055,0.009,0.153,63391,115900
"48015",0.222,0.038,0.226,0.121,0.14,0.2,0.236,0.13,0.068,0.035,0.016,0.221,0.057,0.035,0.01,0.194,68400,211200
"48017",0.191,0.021,0.149,0.268,0.321,0.124,0.269,0.13,0.124,0.185,0.002,0.094,0.054,0.132,0.027,0.193,64044,93200
"48019",0.215,0.067,0.202,0.08,0.139,0.279,0.168,0.188,0.034,0.023,0.002,0.26,0.039,0.015,0.022,0.121,64495,220200
"48021",0.205,0.044,0.227,0.169,0.192,0.154,0.255,0.121,0.049,0.048,0.022,0.244,0.041,0.029,0.025,0.156,78339,209000
"48023",0.189,0.011,0.248,0.13,0.163,0.239,0.235,0.236,0.014,0,0.005,0.079,0.036,0.031,0.023,0.181,43705,73900
"48025",0.308,0.064,0.238,0.198,0.172,0.126,0.202,0.152,0.065,0.032,0.03,0.157,0.037,0.05,0.237,0.244,48822,93200
"48027",0.261,0.077,0.307,0.092,0.145,0.113,0.275,0.148,0.105,0.023,0.101,0.064,0.04,0.058,0.029,0.106,57932,164200
"48029",0.25,0.055,0.306,0.141,0.16,0.123,0.251,0.143,0.084,0.056,0.176,0.027,0.045,0.064,0.017,0.115,62169,187300
"48031",0.155,0.039,0.208,0.097,0.152,0.243,0.177,0.145,0.03,0.014,0.006,0.115,0.019,0.018,0.011,0.128,71201,286900
"48033",0.026,0.018,0.028,0.055,0.023,0.184,0.343,0.105,0,0.005,0,0.126,0.093,0.014,0,0.121,68500,143300
"48035",0.223,0.039,0.168,0.123,0.182,0.249,0.209,0.193,0.035,0.022,0.013,0.189,0.031,0.029,0.019,0.199,59328,137800
"48037",0.268,0.04,0.272,0.1,0.155,0.171,0.237,0.126,0.095,0.011,0.059,0.136,0.037,0.062,0.062,0.231,54949,132700
"48039",0.142,0.046,0.209,0.112,0.134,0.122,0.259,0.097,0.067,0.036,0.117,0.093,0.03,0.027,0.033,0.083,87958,225200
"48041",0.319,0.046,0.377,0.107,0.122,0.095,0.199,0.096,0.068,0.032,0.183,0.058,0.032,0.055,0.076,0.159,52658,229700
"48043",0.233,0.03,0.233,0.111,0.119,0.239,0.182,0.122,0.05,0.021,0.051,0.182,0.013,0.061,0.027,0.202,48679,181700
"48045",0.48,0.033,0.239,0.154,0.209,0.301,0.192,0.211,0.008,0.049,0.001,0.095,0.003,0.04,0,0.334,38469,72100
"48047",0.419,0.021,0.256,0.299,0.246,0.198,0.223,0.239,0.017,0.07,0.013,0.1,0.017,0.155,0.072,0.248,26827,70100
"48049",0.247,0.038,0.253,0.126,0.173,0.201,0.208,0.213,0.083,0.02,0.046,0.147,0.034,0.057,0.047,0.141,49232,114000
"48051",0.181,0.038,0.126,0.163,0.138,0.217,0.218,0.137,0.031,0.052,0.021,0.299,0.028,0.034,0.012,0.192,64109,124500
"48053",0.191,0.034,0.211,0.116,0.174,0.231,0.205,0.159,0.044,0.028,0.022,0.168,0.035,0.033,0.017,0.107,65363,229600
"48055",0.262,0.024,0.219,0.197,0.245,0.152,0.231,0.161,0.057,0.058,0.036,0.253,0.079,0.045,0.082,0.146,63380,162000
"48057",0.185,0.034,0.179,0.157,0.095,0.184,0.235,0.188,0.067,0.044,0.044,0.134,0.029,0.041,0.017,0.196,61887,121700
"48059",0.196,0.048,0.181,0.079,0.172,0.206,0.214,0.211,0.032,0.008,0.002,0.18,0.018,0.034,0.006,0.121,55820,111900
"48061",0.4,0.057,0.279,0.291,0.275,0.137,0.295,0.122,0.123,0.154,0.104,0.108,0.099,0.068,0.008,0.262,43057,94200
"48063",0.347,0.054,0.246,0.128,0.223,0.182,0.264,0.174,0.093,0.034,0.018,0.146,0.052,0.05,0.005,0.186,50947,127300
"48065",0.126,0.019,0.111,0.076,0.103,0.21,0.236,0.098,0.036,0.006,0.007,0.074,0.025,0.028,0.012,0.209,76786,101700
"48067",0.286,0.072,0.221,0.124,0.137,0.222,0.224,0.21,0.078,0.007,0.013,0.187,0.029,0.061,0.013,0.214,49626,96900
"48069",0.25,0.036,0.2,0.248,0.235,0.164,0.29,0.082,0.066,0.088,0.05,0.165,0.039,0.032,0.011,0.182,53551,86300
"48071",0.176,0.075,0.175,0.108,0.159,0.121,0.273,0.109,0.058,0.027,0.017,0.147,0.03,0.025,0.005,0.099,93707,241700
"48073",0.306,0.058,0.222,0.211,0.208,0.177,0.254,0.126,0.09,0.046,0.021,0.199,0.046,0.061,0.068,0.198,54222,120400
"48075",0.325,0.086,0.209,0.18,0.203,0.139,0.185,0.163,0.145,0.021,0.008,0.094,0.004,0.021,0.214,0.228,53092,100600
"48077",0.164,0.018,0.143,0.071,0.158,0.223,0.202,0.205,0.043,0.007,0.003,0.146,0.021,0.033,0.008,0.165,69967,117900
"48079",0.432,0.071,0.158,0.306,0.193,0.168,0.269,0.182,0.044,0.106,0.01,0.117,0.045,0.06,0.062,0.231,38203,44600
"48081",0.295,0.03,0.231,0.14,0.127,0.272,0.216,0.192,0.05,0.016,0,0.196,0.007,0.036,0.031,0.212,42639,82400
"48083",0.256,0.063,0.157,0.118,0.25,0.255,0.217,0.21,0.039,0.022,0.02,0.143,0.008,0.068,0.008,0.167,47216,83400
"48085",0.113,0.042,0.222,0.056,0.101,0.112,0.252,0.075,0.053,0.037,0.208,0.016,0.029,0.029,0.006,0.043,104327,355100
"48087",0.308,0.028,0.166,0.222,0.303,0.204,0.295,0.157,0.163,0.028,0.021,0.067,0.05,0.04,0.025,0.201,42446,65300
"48089",0.222,0.057,0.149,0.156,0.15,0.223,0.233,0.142,0.026,0.028,0.025,0.197,0.05,0.056,0.017,0.216,55945,161200
"48091",0.122,0.037,0.214,0.064,0.112,0.183,0.222,0.144,0.041,0.018,0.11,0.083,0.018,0.025,0.007,0.058,85912,310900
"48093",0.22,0.073,0.189,0.154,0.175,0.235,0.226,0.191,0.026,0.037,0.008,0.145,0.026,0.043,0.014,0.172,55743,106400
"48095",0.218,0.023,0.152,0.251,0.1,0.245,0.183,0.216,0.073,0.146,0.008,0.222,0.017,0.043,0.253,0.151,46719,85600
"48097",0.203,0.039,0.219,0.112,0.15,0.189,0.231,0.137,0.069,0.036,0.041,0.112,0.037,0.048,0.015,0.209,63338,172500
"48099",0.214,0.071,0.266,0.1,0.124,0.107,0.226,0.194,0.073,0.014,0.044,0.064,0.031,0.042,0.192,0.119,58414,131200
"48101",0.389,0.041,0.179,0.181,0.105,0.219,0.256,0.278,0.064,0,0.007,0.027,0.029,0.079,0,0.319,43654,52000
"48103",0.189,0.03,0.116,0.25,0.22,0.14,0.258,0.057,0.047,0.107,0.009,0.233,0.038,0.095,0.026,0.256,67804,106100
"48105",0.154,0.02,0.11,0.281,0.181,0.235,0.18,0.126,0.069,0.054,0.022,0.122,0,0,0.021,0.296,52731,121200
"48107",0.338,0.049,0.189,0.222,0.2,0.184,0.255,0.214,0.126,0.034,0.011,0.112,0.056,0.061,0.017,0.152,44304,61900
"48109",0.287,0.101,0.095,0.236,0.145,0.217,0.152,0.239,0.045,0.064,0.019,0.228,0,0.107,0.019,0.405,34239,66700
"48111",0.298,0.026,0.169,0.22,0.253,0.095,0.317,0.105,0.021,0.118,0.067,0.157,0.039,0.034,0.006,0.185,61069,101900
"48113",0.243,0.049,0.322,0.189,0.216,0.112,0.256,0.102,0.079,0.101,0.293,0.016,0.061,0.067,0.012,0.117,65011,213000
"48115",0.4,0.095,0.272,0.298,0.199,0.141,0.255,0.164,0.084,0.032,0.016,0.054,0.024,0.083,0.145,0.162,42778,82800
"48117",0.325,0.021,0.157,0.278,0.232,0.129,0.308,0.082,0.104,0.083,0.034,0.089,0.051,0.034,0.011,0.198,49611,91700
"48119",0.235,0.064,0.226,0.108,0.07,0.203,0.227,0.172,0.035,0.005,0.004,0.071,0.023,0.033,0.012,0.214,58705,127400
"48121",0.121,0.04,0.234,0.067,0.109,0.109,0.239,0.088,0.059,0.033,0.181,0.028,0.026,0.031,0.013,0.049,96265,321000
"48123",0.266,0.052,0.205,0.159,0.173,0.196,0.223,0.166,0.031,0.02,0.014,0.154,0.027,0.077,0.097,0.276,57873,144700
"48125",0.274,0.097,0.197,0.145,0.148,0.239,0.197,0.202,0.069,0.016,0,0.066,0.006,0.053,0.048,0.171,42241,59400
"48127",0.609,0.047,0.313,0.272,0.173,0.17,0.278,0.183,0.138,0.049,0.02,0.265,0.075,0.149,0.017,0.303,25000,57700
"48129",0.206,0,0.206,0.155,0.172,0.238,0.193,0.093,0.052,0.001,0.006,0.139,0.016,0.037,0.107,0.356,52888,67100
"48131",0.326,0.084,0.14,0.266,0.202,0.158,0.253,0.208,0.076,0.042,0.003,0.125,0.055,0.102,0.055,0.352,43836,75200
"48133",0.264,0.049,0.203,0.146,0.162,0.216,0.209,0.192,0.062,0.017,0.029,0.13,0.027,0.063,0.055,0.187,43953,82700
"48135",0.247,0.058,0.256,0.232,0.218,0.095,0.303,0.102,0.091,0.067,0.118,0.165,0.066,0.052,0.012,0.157,64975,155100
"48137",0.409,0,0.238,0.256,0.259,0.22,0.196,0.143,0.065,0.049,0,0.216,0,0.03,0.025,0.418,40000,70300
"48139",0.147,0.039,0.219,0.117,0.161,0.129,0.263,0.12,0.078,0.032,0.064,0.079,0.034,0.029,0.009,0.085,85272,239000
"48141",0.318,0.068,0.314,0.2,0.218,0.125,0.265,0.139,0.097,0.131,0.105,0.057,0.052,0.065,0.016,0.135,50919,131500
"48143",0.276,0.056,0.301,0.129,0.148,0.142,0.206,0.129,0.047,0.035,0.085,0.143,0.031,0.041,0.063,0.123,56691,176600
"48145",0.36,0.074,0.257,0.175,0.169,0.187,0.21,0.187,0.041,0.016,0.034,0.114,0.069,0.089,0.111,0.263,35317,80400
"48147",0.237,0.047,0.21,0.143,0.156,0.181,0.212,0.152,0.045,0.017,0.019,0.14,0.031,0.032,0.086,0.197,59686,158000
"48149",0.172,0.035,0.207,0.101,0.11,0.261,0.2,0.156,0.036,0.02,0.044,0.144,0.02,0.048,0.02,0.269,66624,211900
"48151",0.19,0.029,0.131,0.138,0.13,0.231,0.213,0.181,0.066,0.03,0.001,0.08,0.006,0.056,0.011,0.225,55862,67100
"48153",0.294,0.041,0.189,0.288,0.243,0.183,0.262,0.156,0.106,0.064,0.014,0.028,0.01,0.102,0.006,0.24,54007,75900
"48155",0.349,0.059,0.242,0.196,0.121,0.303,0.208,0.198,0.037,0.001,0,0.051,0,0.054,0.037,0.292,37679,52700
"48157",0.127,0.052,0.208,0.085,0.118,0.118,0.27,0.073,0.06,0.05,0.084,0.028,0.035,0.028,0.007,0.055,102590,287500
"48159",0.116,0.065,0.163,0.085,0.152,0.221,0.232,0.164,0.038,0.022,0.014,0.094,0.023,0.019,0.009,0.098,61391,157200
"48161",0.256,0.035,0.221,0.15,0.114,0.199,0.225,0.198,0.07,0.013,0.009,0.236,0.031,0.033,0.073,0.296,55910,136200
"48163",0.302,0.026,0.259,0.3,0.143,0.126,0.233,0.151,0.088,0.096,0.011,0.259,0.054,0.109,0.187,0.324,58456,100500
"48165",0.215,0.034,0.168,0.396,0.295,0.089,0.355,0.121,0.072,0.069,0.013,0.223,0.065,0.041,0.007,0.183,67728,136400
"48167",0.183,0.059,0.255,0.103,0.138,0.149,0.239,0.129,0.061,0.03,0.131,0.037,0.031,0.054,0.017,0.087,79328,229300
"48169",0.26,0.099,0.161,0.3,0.163,0.168,0.154,0.181,0.031,0.136,0,0.141,0.011,0.063,0.243,0.168,64871,78900
"48171",0.143,0.035,0.258,0.113,0.179,0.29,0.199,0.147,0.035,0.045,0.036,0.127,0.041,0.055,0.012,0.131,64438,324700
"48173",0.101,0.013,0.041,0.139,0.225,0.127,0.248,0.094,0.063,0.075,0,0.125,0.118,0.012,0,0.2,85417,203100
"48175",0.214,0.048,0.16,0.155,0.112,0.239,0.209,0.16,0.025,0.022,0.006,0.157,0.008,0.086,0.016,0.279,52335,146500
